"Sales","date","Mo","Tu","We","Th","Fr","Sa","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Promo","mav_5d","lag_1d"
9332,"2013-02-01",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8443.2,10359
11123,"2013-02-02",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8445,9332
10095,"2013-02-09",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8963.2,11123
8907,"2013-02-11",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9470.4,10095
7800,"2013-02-12",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9731.6,8907
7983,"2013-02-13",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9219.8,7800
8239,"2013-02-14",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8950,7983
7993,"2013-02-15",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8604.8,8239
9757,"2013-02-16",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8184.4,7993
13163,"2013-02-18",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11060.8,9965
9719,"2013-02-19",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10906,13163
8906,"2013-02-20",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10579.2,9719
9303,"2013-02-21",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10341.4,8906
10623,"2013-02-22",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,10169.6,9303
9708,"2013-02-23",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8527.6,9757
7158,"2013-02-25",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8909.2,9708
7199,"2013-02-26",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8744.2,7158
7256,"2013-02-27",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8536.2,7199
10697,"2013-02-28",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8388.8,7256
9873,"2013-03-01",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8403.6,10697
10541,"2013-03-02",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8436.6,9873
13382,"2013-03-04",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10326.4,10623
9844,"2013-03-05",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10370.2,13382
9357,"2013-03-06",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10395.2,9844
9190,"2013-03-07",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10485.4,9357
10245,"2013-03-08",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,10462.8,9190
9936,"2013-03-09",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9054,10541
8395,"2013-03-11",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9601.4,9936
7676,"2013-03-12",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9829.2,8395
7522,"2013-03-13",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9225,7676
7112,"2013-03-14",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8754.8,7522
7849,"2013-03-15",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8128.2,7112
9446,"2013-03-16",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7710.8,7849
11643,"2013-03-18",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10243.8,10245
10301,"2013-03-19",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9896,11643
9149,"2013-03-20",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9987.4,10301
9466,"2013-03-21",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9945.8,9149
10190,"2013-03-22",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,10001,9466
9875,"2013-03-23",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8069.8,9446
11548,"2013-03-25",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10086.8,10190
10381,"2013-03-26",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10067.8,11548
11014,"2013-03-27",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10083.8,10381
16910,"2013-03-28",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10456.8,11014
14669,"2013-03-30",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9916.6,9875
11522,"2013-04-02",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11346,14669
8922,"2013-04-03",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12228,11522
8692,"2013-04-04",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12442.6,8922
8264,"2013-04-05",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12143,8692
9985,"2013-04-06",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10413.8,8264
10943,"2013-04-08",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10560.6,16910
9238,"2013-04-09",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10774.2,10943
8798,"2013-04-10",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10312.2,9238
8764,"2013-04-11",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9995.6,8798
9492,"2013-04-12",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,9545.6,8764
9901,"2013-04-13",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9378.4,9985
7181,"2013-04-15",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9054.2,9901
6559,"2013-04-16",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8706,7181
6154,"2013-04-17",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8279.4,6559
6390,"2013-04-18",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7857.4,6154
7287,"2013-04-19",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7237,6390
8749,"2013-04-20",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6714.2,7287
11138,"2013-04-22",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9298.4,9492
9166,"2013-04-23",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9337.4,11138
7496,"2013-04-24",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9323,9166
7985,"2013-04-25",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9062.6,7496
8593,"2013-04-26",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8906.8,7985
9752,"2013-04-27",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6996.6,8749
11140,"2013-04-29",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9107.4,8593
14870,"2013-04-30",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9107.8,11140
12976,"2013-05-02",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10248.6,14870
11335,"2013-05-03",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,11344.6,12976
9713,"2013-05-04",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7951.8,9752
7915,"2013-05-06",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8663.6,9713
8175,"2013-05-07",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8968.6,7915
9078,"2013-05-08",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9146.2,8175
10624,"2013-05-10",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9243.2,9078
10399,"2013-05-11",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9101,10624
